instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
A T Still University of Health Sciences,40.193648,A T Still University of Health Sciences, ,-92.589183,00247700  ,40.193648,-92.589183,00247700  ,
Aaniiih Nakoda College,48.484196,Aaniiih Nakoda College, ,-108.757816,02517500  ,48.533090,-108.783640,02517500  ,
ABC Adult School,33.878179,ABC Adult School, ,-118.070114,04227000  ,,,,
ABC Beauty Academy,32.931698,ABC Beauty Academy, ,-96.685333,04168800  ,32.929820,-96.683234,04168800  ,
ABCO Technology,33.932121,ABCO Technology, ,-118.369774,04242600  ,,,,
Abcott Institute,42.446331,Abcott Institute, ,-83.210617,04183300  ,42.445388,-83.210275,04183300  ,
Abilene Christian University,32.468943,Abilene Christian University, ,-99.709797,00353700  ,32.469150,-99.709540,00353700  ,
Abraham Baldwin Agricultural College,31.481889,Abraham Baldwin Agricultural College,ABAC,-83.528281,00154100  ,31.481889,-83.528281,00154100  ,
Abraham Lincoln University,34.146294,Abraham Lincoln University, ,-118.256726,04243800  ,,,,
Academia Serrant Inc,18.009587,Academia Serrant Inc,Academia Serrant,-66.614130,03122500  ,18.006327,-66.614318,03122500  ,
Academy College,44.855722,Academy College, ,-93.299809,02050300  ,44.861452,-93.259384,02050300  ,
Academy Di Capelli-School of Cosmetology,41.490402,Academy Di Capelli-School of Cosmetology,Academy Di Capelli,-72.806335,04104300  ,41.489905,-72.806897,04104300  ,
Academy di Firenze,42.723871,Academy di Firenze, ,-114.519826,04207200  ,42.724062,-114.519359,04207200  ,
Academy for Careers and Technology,34.186433,Academy for Careers and Technology, ,-79.340157,04083300  ,34.187707,-79.338776,04083300  ,
Academy for Five Element Acupuncture,29.650075,Academy for Five Element Acupuncture, ,-82.321994,04133500  ,29.650075,-82.321994,04133500  ,
Academy for Jewish Religion-California,34.070281,Academy for Jewish Religion-California, ,-118.438495,04155500  ,34.070391,-118.438639,04155500  ,
Academy for Nursing and Health Occupations,26.706530,Academy for Nursing and Health Occupations,ANHO,-80.121497,03346300  ,26.706530,-80.121497,03346300  ,
Academy for Salon Professionals,34.233960,Academy for Salon Professionals, ,-118.558215,04189800  ,34.222241,-118.605967,04189800  ,
Academy of Art University,37.787943,Academy of Art University, ,-122.400578,00753100  ,37.787748,-122.400686,00753100  ,
Academy of Career Training,28.306092,Academy of Career Training, ,-81.439569,04126900  ,28.306092,-81.439569,04126900  ,
Academy of Careers and Technology,37.795299,Academy of Careers and Technology, ,-81.165435,01290500  ,37.799775,-81.168609,01290500  ,
Academy of Chinese Culture and Health Sciences,37.805972,Academy of Chinese Culture and Health Sciences,ACCHS,-122.269839,03288300  ,37.806662,-122.272733,03288300  ,
Academy of Cosmetology,45.680544,Academy of Cosmetology, ,-111.039848,02621300  ,45.680504,-111.039768,02621300  ,
Academy of Cosmetology,28.394053,Academy of Cosmetology, ,-80.703720,02499000  ,28.394053,-80.703720,02499000  ,
